Created as New Dataset,Sample 037 By Administrator Date Monday, February 10 2020
cm-1,A
5556.00,1.0248
5555.00,1.0249
5554.00,1.0249
5553.00,1.0248
5552.00,1.0245
5551.00,1.0243
5550.00,1.0242
5549.00,1.0241
5548.00,1.0241
5547.00,1.0243
5546.00,1.0244
5545.00,1.0245
5544.00,1.0246
5543.00,1.0247
5542.00,1.0248
5541.00,1.0249
5540.00,1.0250
5539.00,1.0251
5538.00,1.0252
5537.00,1.0251
5536.00,1.0249
5535.00,1.0247
5534.00,1.0245
5533.00,1.0243
5532.00,1.0242
5531.00,1.0241
5530.00,1.0241
5529.00,1.0241
5528.00,1.0241
5527.00,1.0242
5526.00,1.0243
5525.00,1.0243
5524.00,1.0244
5523.00,1.0243
5522.00,1.0243
5521.00,1.0243
5520.00,1.0244
5519.00,1.0246
5518.00,1.0248
5517.00,1.0250
5516.00,1.0252
5515.00,1.0254
5514.00,1.0254
5513.00,1.0255
5512.00,1.0255
5511.00,1.0255
5510.00,1.0252
5509.00,1.0247
5508.00,1.0242
5507.00,1.0239
5506.00,1.0236
5505.00,1.0235
5504.00,1.0235
5503.00,1.0236
5502.00,1.0239
5501.00,1.0241
5500.00,1.0241
5499.00,1.0241
5498.00,1.0241
5497.00,1.0242
5496.00,1.0243
5495.00,1.0244
5494.00,1.0244
5493.00,1.0244
5492.00,1.0245
5491.00,1.0247
5490.00,1.0248
5489.00,1.0248
5488.00,1.0247
5487.00,1.0247
5486.00,1.0247
5485.00,1.0248
5484.00,1.0249
5483.00,1.0250
5482.00,1.0251
5481.00,1.0250
5480.00,1.0249
5479.00,1.0247
5478.00,1.0246
5477.00,1.0244
5476.00,1.0242
5475.00,1.0241
5474.00,1.0241
5473.00,1.0241
5472.00,1.0240
5471.00,1.0239
5470.00,1.0237
5469.00,1.0236
5468.00,1.0237
5467.00,1.0238
5466.00,1.0239
5465.00,1.0240
5464.00,1.0242
5463.00,1.0244
5462.00,1.0246
5461.00,1.0247
5460.00,1.0248
5459.00,1.0249
5458.00,1.0248
5457.00,1.0246
5456.00,1.0244
5455.00,1.0243
5454.00,1.0242
5453.00,1.0241
5452.00,1.0240
5451.00,1.0239
5450.00,1.0239
5449.00,1.0239
5448.00,1.0240
5447.00,1.0241
5446.00,1.0241
5445.00,1.0241
5444.00,1.0242
5443.00,1.0243
5442.00,1.0242
5441.00,1.0241
5440.00,1.0240
5439.00,1.0241
5438.00,1.0241
5437.00,1.0241
5436.00,1.0240
5435.00,1.0239
5434.00,1.0240
5433.00,1.0242
