Created as New Dataset,Sample 028 By Administrator Date Monday, February 10 2020
cm-1,A
5346.00,1.1851
5345.00,1.1849
5344.00,1.1847
5343.00,1.1847
5342.00,1.1847
5341.00,1.1847
5340.00,1.1847
5339.00,1.1847
5338.00,1.1846
5337.00,1.1847
5336.00,1.1848
5335.00,1.1849
5334.00,1.1850
5333.00,1.1851
5332.00,1.1851
5331.00,1.1852
5330.00,1.1852
5329.00,1.1852
5328.00,1.1851
5327.00,1.1851
5326.00,1.1851
5325.00,1.1852
5324.00,1.1852
5323.00,1.1851
5322.00,1.1851
5321.00,1.1851
5320.00,1.1851
5319.00,1.1852
5318.00,1.1852
5317.00,1.1851
5316.00,1.1851
5315.00,1.1851
5314.00,1.1851
5313.00,1.1850
5312.00,1.1850
5311.00,1.1850
5310.00,1.1851
5309.00,1.1851
5308.00,1.1850
5307.00,1.1850
5306.00,1.1850
5305.00,1.1849
5304.00,1.1849
5303.00,1.1849
5302.00,1.1849
5301.00,1.1849
5300.00,1.1849
5299.00,1.1849
5298.00,1.1849
5297.00,1.1849
5296.00,1.1848
5295.00,1.1848
5294.00,1.1848
5293.00,1.1848
5292.00,1.1847
5291.00,1.1846
5290.00,1.1846
5289.00,1.1846
5288.00,1.1846
5287.00,1.1847
5286.00,1.1847
5285.00,1.1848
5284.00,1.1848
5283.00,1.1849
5282.00,1.1849
5281.00,1.1849
5280.00,1.1848
5279.00,1.1848
5278.00,1.1848
5277.00,1.1848
5276.00,1.1848
5275.00,1.1849
5274.00,1.1849
5273.00,1.1850
5272.00,1.1850
5271.00,1.1850
5270.00,1.1849
5269.00,1.1848
5268.00,1.1848
5267.00,1.1849
5266.00,1.1849
5265.00,1.1849
5264.00,1.1848
5263.00,1.1848
5262.00,1.1849
5261.00,1.1849
5260.00,1.1849
5259.00,1.1850
5258.00,1.1851
5257.00,1.1852
5256.00,1.1853
5255.00,1.1853
5254.00,1.1853
5253.00,1.1853
5252.00,1.1853
5251.00,1.1853
5250.00,1.1852
5249.00,1.1850
5248.00,1.1850
5247.00,1.1851
5246.00,1.1852
5245.00,1.1852
5244.00,1.1853
5243.00,1.1855
5242.00,1.1857
5241.00,1.1857
5240.00,1.1858
5239.00,1.1858
5238.00,1.1858
5237.00,1.1859
5236.00,1.1860
5235.00,1.1861
5234.00,1.1862
5233.00,1.1863
5232.00,1.1862
5231.00,1.1862
5230.00,1.1861
5229.00,1.1860
5228.00,1.1860
5227.00,1.1860
5226.00,1.1860
5225.00,1.1861
5224.00,1.1862
5223.00,1.1863
5222.00,1.1863
5221.00,1.1864
5220.00,1.1865
5219.00,1.1865
5218.00,1.1866
5217.00,1.1866
5216.00,1.1866
5215.00,1.1866
5214.00,1.1866
5213.00,1.1866
5212.00,1.1866
5211.00,1.1867
5210.00,1.1867
5209.00,1.1867
5208.00,1.1868
5207.00,1.1868
5206.00,1.1868
5205.00,1.1869
5204.00,1.1870
5203.00,1.1870
5202.00,1.1871
5201.00,1.1871
5200.00,1.1871
5199.00,1.1872
5198.00,1.1872
5197.00,1.1872
5196.00,1.1873
5195.00,1.1873
5194.00,1.1874
5193.00,1.1874
5192.00,1.1875
5191.00,1.1876
5190.00,1.1876
5189.00,1.1876
5188.00,1.1876
5187.00,1.1876
5186.00,1.1876
5185.00,1.1876
5184.00,1.1877
5183.00,1.1877
5182.00,1.1878
5181.00,1.1878
5180.00,1.1878
5179.00,1.1879
5178.00,1.1880
5177.00,1.1880
5176.00,1.1881
5175.00,1.1882
5174.00,1.1882
5173.00,1.1883
5172.00,1.1884
5171.00,1.1885
5170.00,1.1886
5169.00,1.1886
5168.00,1.1886
5167.00,1.1885
5166.00,1.1885
5165.00,1.1885
5164.00,1.1886
5163.00,1.1887
5162.00,1.1888
5161.00,1.1888
5160.00,1.1888
5159.00,1.1889
5158.00,1.1888
5157.00,1.1888
5156.00,1.1889
5155.00,1.1889
5154.00,1.1891
5153.00,1.1891
5152.00,1.1892
5151.00,1.1892
5150.00,1.1892
5149.00,1.1892
5148.00,1.1893
5147.00,1.1893
5146.00,1.1894
5145.00,1.1895
5144.00,1.1896
5143.00,1.1897
5142.00,1.1897
5141.00,1.1896
5140.00,1.1896
5139.00,1.1896
5138.00,1.1896
5137.00,1.1896
5136.00,1.1897
5135.00,1.1897
5134.00,1.1898
5133.00,1.1898
5132.00,1.1899
5131.00,1.1899
5130.00,1.1900
5129.00,1.1900
5128.00,1.1900
5127.00,1.1900
5126.00,1.1900
5125.00,1.1900
5124.00,1.1900
5123.00,1.1900
5122.00,1.1900
5121.00,1.1900
5120.00,1.1899
5119.00,1.1899
5118.00,1.1899
5117.00,1.1899
5116.00,1.1899
5115.00,1.1899
5114.00,1.1899
5113.00,1.1898
5112.00,1.1898
5111.00,1.1898
5110.00,1.1898
5109.00,1.1898
5108.00,1.1899
5107.00,1.1899
5106.00,1.1900
5105.00,1.1899
5104.00,1.1899
5103.00,1.1899
5102.00,1.1899
5101.00,1.1899
5100.00,1.1899
5099.00,1.1899
5098.00,1.1898
5097.00,1.1898
5096.00,1.1898
5095.00,1.1898
5094.00,1.1898
5093.00,1.1898
5092.00,1.1899
5091.00,1.1899
5090.00,1.1898
5089.00,1.1898
5088.00,1.1897
5087.00,1.1897
5086.00,1.1897
5085.00,1.1897
5084.00,1.1897
5083.00,1.1897
5082.00,1.1897
5081.00,1.1897
5080.00,1.1896
5079.00,1.1896
5078.00,1.1897
5077.00,1.1897
5076.00,1.1897
5075.00,1.1898
5074.00,1.1897
5073.00,1.1897
5072.00,1.1896
5071.00,1.1895
5070.00,1.1894
5069.00,1.1895
5068.00,1.1895
5067.00,1.1896
5066.00,1.1896
5065.00,1.1896
5064.00,1.1896
5063.00,1.1896
5062.00,1.1896
5061.00,1.1896
5060.00,1.1896
5059.00,1.1896
5058.00,1.1896
5057.00,1.1895
5056.00,1.1895
5055.00,1.1895
5054.00,1.1895
5053.00,1.1895
5052.00,1.1895
5051.00,1.1895
5050.00,1.1896
5049.00,1.1896
5048.00,1.1896
5047.00,1.1895
5046.00,1.1895
5045.00,1.1894
5044.00,1.1893
5043.00,1.1893
5042.00,1.1893
5041.00,1.1893
5040.00,1.1893
5039.00,1.1893
5038.00,1.1893
5037.00,1.1894
5036.00,1.1894
5035.00,1.1894
5034.00,1.1893
5033.00,1.1893
5032.00,1.1892
5031.00,1.1892
5030.00,1.1891
5029.00,1.1891
5028.00,1.1891
5027.00,1.1892
5026.00,1.1892
5025.00,1.1891
5024.00,1.1890
5023.00,1.1890
5022.00,1.1889
5021.00,1.1889
5020.00,1.1889
5019.00,1.1889
5018.00,1.1889
5017.00,1.1889
5016.00,1.1888
5015.00,1.1888
5014.00,1.1887
5013.00,1.1887
5012.00,1.1887
5011.00,1.1887
5010.00,1.1887
5009.00,1.1887
5008.00,1.1887
5007.00,1.1886
5006.00,1.1886
5005.00,1.1886
5004.00,1.1886
5003.00,1.1886
5002.00,1.1886
5001.00,1.1885
5000.00,1.1884
4999.00,1.1884
4998.00,1.1884
4997.00,1.1884
4996.00,1.1884
4995.00,1.1884
4994.00,1.1884
4993.00,1.1883
4992.00,1.1883
4991.00,1.1883
