Created as New Dataset,Sample 029 By Administrator Date Monday, February 10 2020
cm-1,A
4746.00,1.1893
4745.00,1.1892
4744.00,1.1891
4743.00,1.1890
4742.00,1.1889
4741.00,1.1888
4740.00,1.1888
4739.00,1.1887
4738.00,1.1886
4737.00,1.1885
4736.00,1.1884
4735.00,1.1883
4734.00,1.1882
4733.00,1.1882
4732.00,1.1882
4731.00,1.1882
4730.00,1.1882
4729.00,1.1882
4728.00,1.1881
4727.00,1.1880
4726.00,1.1879
4725.00,1.1878
4724.00,1.1877
4723.00,1.1876
4722.00,1.1875
4721.00,1.1874
4720.00,1.1874
4719.00,1.1874
4718.00,1.1875
4717.00,1.1875
4716.00,1.1875
4715.00,1.1875
4714.00,1.1875
4713.00,1.1874
4712.00,1.1873
4711.00,1.1873
4710.00,1.1872
4709.00,1.1872
4708.00,1.1872
4707.00,1.1873
4706.00,1.1873
4705.00,1.1873
4704.00,1.1873
4703.00,1.1873
4702.00,1.1872
4701.00,1.1872
4700.00,1.1872
4699.00,1.1872
4698.00,1.1872
4697.00,1.1871
4696.00,1.1870
4695.00,1.1870
4694.00,1.1869
4693.00,1.1868
4692.00,1.1868
4691.00,1.1867
4690.00,1.1865
4689.00,1.1864
4688.00,1.1863
4687.00,1.1862
4686.00,1.1862
4685.00,1.1862
4684.00,1.1862
4683.00,1.1862
4682.00,1.1861
4681.00,1.1861
4680.00,1.1861
4679.00,1.1860
4678.00,1.1860
4677.00,1.1860
4676.00,1.1860
4675.00,1.1859
4674.00,1.1858
4673.00,1.1857
4672.00,1.1857
4671.00,1.1857
4670.00,1.1857
4669.00,1.1857
4668.00,1.1857
4667.00,1.1858
4666.00,1.1857
4665.00,1.1857
4664.00,1.1856
4663.00,1.1855
4662.00,1.1855
4661.00,1.1855
4660.00,1.1855
4659.00,1.1855
4658.00,1.1855
4657.00,1.1854
4656.00,1.1853
4655.00,1.1853
4654.00,1.1853
4653.00,1.1852
4652.00,1.1852
4651.00,1.1852
4650.00,1.1852
4649.00,1.1851
4648.00,1.1851
4647.00,1.1851
4646.00,1.1852
4645.00,1.1851
4644.00,1.1851
4643.00,1.1851
4642.00,1.1850
4641.00,1.1850
4640.00,1.1849
4639.00,1.1849
4638.00,1.1850
4637.00,1.1850
4636.00,1.1850
4635.00,1.1851
4634.00,1.1851
4633.00,1.1850
4632.00,1.1850
4631.00,1.1850
4630.00,1.1850
4629.00,1.1850
4628.00,1.1850
4627.00,1.1849
4626.00,1.1849
4625.00,1.1849
4624.00,1.1849
4623.00,1.1849
4622.00,1.1848
4621.00,1.1848
4620.00,1.1847
4619.00,1.1847
4618.00,1.1847
4617.00,1.1847
4616.00,1.1847
4615.00,1.1847
4614.00,1.1846
