Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
5466.00,1.1444
5465.00,1.1444
5464.00,1.1445
5463.00,1.1445
5462.00,1.1445
5461.00,1.1445
5460.00,1.1446
5459.00,1.1447
5458.00,1.1447
5457.00,1.1447
5456.00,1.1447
5455.00,1.1447
5454.00,1.1446
5453.00,1.1446
5452.00,1.1445
5451.00,1.1444
5450.00,1.1444
5449.00,1.1444
5448.00,1.1445
5447.00,1.1445
5446.00,1.1444
5445.00,1.1444
5444.00,1.1445
5443.00,1.1445
5442.00,1.1445
5441.00,1.1444
5440.00,1.1445
5439.00,1.1445
5438.00,1.1444
5437.00,1.1443
5436.00,1.1441
5435.00,1.1441
5434.00,1.1440
5433.00,1.1441
5432.00,1.1441
5431.00,1.1442
5430.00,1.1442
5429.00,1.1442
5428.00,1.1442
5427.00,1.1443
5426.00,1.1443
5425.00,1.1444
5424.00,1.1445
5423.00,1.1447
5422.00,1.1448
5421.00,1.1448
5420.00,1.1447
5419.00,1.1446
5418.00,1.1444
5417.00,1.1443
5416.00,1.1441
5415.00,1.1439
5414.00,1.1439
5413.00,1.1439
5412.00,1.1439
5411.00,1.1439
5410.00,1.1439
5409.00,1.1440
5408.00,1.1441
5407.00,1.1443
5406.00,1.1444
5405.00,1.1445
5404.00,1.1446
5403.00,1.1447
5402.00,1.1446
5401.00,1.1445
5400.00,1.1444
5399.00,1.1444
5398.00,1.1443
5397.00,1.1443
5396.00,1.1442
5395.00,1.1442
5394.00,1.1441
5393.00,1.1439
5392.00,1.1438
5391.00,1.1439
5390.00,1.1439
5389.00,1.1440
5388.00,1.1440
5387.00,1.1441
5386.00,1.1442
5385.00,1.1442
5384.00,1.1442
5383.00,1.1443
5382.00,1.1442
5381.00,1.1441
5380.00,1.1440
5379.00,1.1440
5378.00,1.1439
5377.00,1.1439
5376.00,1.1439
5375.00,1.1440
5374.00,1.1440
5373.00,1.1440
5372.00,1.1441
5371.00,1.1442
5370.00,1.1443
5369.00,1.1443
5368.00,1.1443
5367.00,1.1444
5366.00,1.1444
5365.00,1.1444
5364.00,1.1444
5363.00,1.1445
5362.00,1.1445
